,labels,x,y
74,GERMINAL CENTRE,36444,22221
75,GERMINAL CENTRE,36444,22245
76,GERMINAL CENTRE,36433,22256
77,GERMINAL CENTRE,36433,22280
78,GERMINAL CENTRE,36421,22303
79,GERMINAL CENTRE,36421,22327
80,GERMINAL CENTRE,36421,22350
81,GERMINAL CENTRE,36421,22362
82,GERMINAL CENTRE,36421,22385
83,GERMINAL CENTRE,36421,22397
84,GERMINAL CENTRE,36421,22409
85,GERMINAL CENTRE,36421,22432
86,GERMINAL CENTRE,36421,22444
87,GERMINAL CENTRE,36409,22456
88,GERMINAL CENTRE,36409,22479
89,GERMINAL CENTRE,36409,22491
90,GERMINAL CENTRE,36409,22514
91,GERMINAL CENTRE,36409,22526
92,GERMINAL CENTRE,36409,22550
93,GERMINAL CENTRE,36409,22561
94,GERMINAL CENTRE,36409,22585
95,GERMINAL CENTRE,36409,22596
96,GERMINAL CENTRE,36409,22608
97,GERMINAL CENTRE,36409,22632
98,GERMINAL CENTRE,36409,22655
99,GERMINAL CENTRE,36409,22667
100,GERMINAL CENTRE,36409,22690
101,GERMINAL CENTRE,36409,22737
102,GERMINAL CENTRE,36409,22749
103,GERMINAL CENTRE,36409,22772
104,GERMINAL CENTRE,36421,22819
105,GERMINAL CENTRE,36421,22843
106,GERMINAL CENTRE,36444,22901
107,GERMINAL CENTRE,36444,22925
108,GERMINAL CENTRE,36456,22936
109,GERMINAL CENTRE,36468,22960
110,GERMINAL CENTRE,36480,22995
111,GERMINAL CENTRE,36480,23007
112,GERMINAL CENTRE,36503,23042
113,GERMINAL CENTRE,36515,23054
114,GERMINAL CENTRE,36527,23089
115,GERMINAL CENTRE,36538,23136
116,GERMINAL CENTRE,36550,23148
117,GERMINAL CENTRE,36562,23183
118,GERMINAL CENTRE,36573,23206
119,GERMINAL CENTRE,36585,23230
120,GERMINAL CENTRE,36609,23253
121,GERMINAL CENTRE,36609,23265
122,GERMINAL CENTRE,36620,23277
123,GERMINAL CENTRE,36644,23300
124,GERMINAL CENTRE,36656,23312
125,GERMINAL CENTRE,36656,23323
126,GERMINAL CENTRE,36679,23347
127,GERMINAL CENTRE,36691,23359
128,GERMINAL CENTRE,36691,23382
129,GERMINAL CENTRE,36714,23406
130,GERMINAL CENTRE,36726,23417
131,GERMINAL CENTRE,36726,23429
132,GERMINAL CENTRE,36738,23452
133,GERMINAL CENTRE,36749,23464
134,GERMINAL CENTRE,36761,23476
135,GERMINAL CENTRE,36796,23499
136,GERMINAL CENTRE,36820,23511
137,GERMINAL CENTRE,36831,23523
138,GERMINAL CENTRE,36843,23535
139,GERMINAL CENTRE,36867,23546
140,GERMINAL CENTRE,36890,23558
141,GERMINAL CENTRE,36902,23570
142,GERMINAL CENTRE,36913,23581
143,GERMINAL CENTRE,36937,23581
144,GERMINAL CENTRE,36960,23605
145,GERMINAL CENTRE,36996,23605
146,GERMINAL CENTRE,37007,23617
147,GERMINAL CENTRE,37019,23617
148,GERMINAL CENTRE,37042,23628
149,GERMINAL CENTRE,37054,23628
150,GERMINAL CENTRE,37078,23640
151,GERMINAL CENTRE,37089,23640
152,GERMINAL CENTRE,37113,23640
153,GERMINAL CENTRE,37148,23640
154,GERMINAL CENTRE,37183,23640
155,GERMINAL CENTRE,37195,23640
156,GERMINAL CENTRE,37218,23652
157,GERMINAL CENTRE,37242,23664
158,GERMINAL CENTRE,37265,23675
159,GERMINAL CENTRE,37289,23675
160,GERMINAL CENTRE,37324,23687
161,GERMINAL CENTRE,37336,23687
162,GERMINAL CENTRE,37371,23687
163,GERMINAL CENTRE,37394,23687
164,GERMINAL CENTRE,37406,23687
165,GERMINAL CENTRE,37441,23687
166,GERMINAL CENTRE,37453,23687
167,GERMINAL CENTRE,37476,23675
168,GERMINAL CENTRE,37512,23675
169,GERMINAL CENTRE,37523,23664
170,GERMINAL CENTRE,37558,23640
171,GERMINAL CENTRE,37594,23640
172,GERMINAL CENTRE,37629,23617
173,GERMINAL CENTRE,37641,23605
174,GERMINAL CENTRE,37664,23605
175,GERMINAL CENTRE,37676,23581
176,GERMINAL CENTRE,37699,23570
177,GERMINAL CENTRE,37723,23546
178,GERMINAL CENTRE,37723,23535
179,GERMINAL CENTRE,37746,23535
180,GERMINAL CENTRE,37769,23523
181,GERMINAL CENTRE,37793,23499
182,GERMINAL CENTRE,37816,23488
183,GERMINAL CENTRE,37828,23464
184,GERMINAL CENTRE,37852,23452
185,GERMINAL CENTRE,37887,23441
186,GERMINAL CENTRE,37898,23429
187,GERMINAL CENTRE,37910,23417
188,GERMINAL CENTRE,37945,23382
189,GERMINAL CENTRE,37969,23359
190,GERMINAL CENTRE,37981,23347
191,GERMINAL CENTRE,37992,23335
192,GERMINAL CENTRE,38004,23312
193,GERMINAL CENTRE,38016,23300
194,GERMINAL CENTRE,38027,23288
195,GERMINAL CENTRE,38063,23253
196,GERMINAL CENTRE,38074,23241
197,GERMINAL CENTRE,38110,23194
198,GERMINAL CENTRE,38110,23183
199,GERMINAL CENTRE,38133,23148
200,GERMINAL CENTRE,38145,23124
201,GERMINAL CENTRE,38156,23101
202,GERMINAL CENTRE,38180,23065
203,GERMINAL CENTRE,38192,23030
204,GERMINAL CENTRE,38215,22995
205,GERMINAL CENTRE,38215,22972
206,GERMINAL CENTRE,38239,22913
207,GERMINAL CENTRE,38250,22890
208,GERMINAL CENTRE,38274,22843
209,GERMINAL CENTRE,38274,22808
210,GERMINAL CENTRE,38285,22772
211,GERMINAL CENTRE,38297,22761
212,GERMINAL CENTRE,38297,22737
213,GERMINAL CENTRE,38297,22714
214,GERMINAL CENTRE,38309,22667
215,GERMINAL CENTRE,38309,22655
216,GERMINAL CENTRE,38321,22632
217,GERMINAL CENTRE,38321,22620
218,GERMINAL CENTRE,38321,22585
219,GERMINAL CENTRE,38332,22550
220,GERMINAL CENTRE,38332,22526
221,GERMINAL CENTRE,38332,22503
222,GERMINAL CENTRE,38344,22467
223,GERMINAL CENTRE,38344,22444
224,GERMINAL CENTRE,38344,22432
225,GERMINAL CENTRE,38344,22409
226,GERMINAL CENTRE,38344,22397
227,GERMINAL CENTRE,38344,22374
228,GERMINAL CENTRE,38344,22362
229,GERMINAL CENTRE,38344,22338
230,GERMINAL CENTRE,38344,22327
231,GERMINAL CENTRE,38344,22292
232,GERMINAL CENTRE,38344,22280
233,GERMINAL CENTRE,38344,22256
234,GERMINAL CENTRE,38344,22221
235,GERMINAL CENTRE,38344,22198
236,GERMINAL CENTRE,38344,22186
237,GERMINAL CENTRE,38344,22163
238,GERMINAL CENTRE,38344,22151
239,GERMINAL CENTRE,38344,22139
240,GERMINAL CENTRE,38344,22092
241,GERMINAL CENTRE,38332,22069
242,GERMINAL CENTRE,38321,22045
243,GERMINAL CENTRE,38309,22022
244,GERMINAL CENTRE,38297,22010
245,GERMINAL CENTRE,38297,21975
246,GERMINAL CENTRE,38285,21952
247,GERMINAL CENTRE,38285,21940
248,GERMINAL CENTRE,38274,21928
249,GERMINAL CENTRE,38262,21905
250,GERMINAL CENTRE,38262,21893
251,GERMINAL CENTRE,38250,21869
252,GERMINAL CENTRE,38239,21846
253,GERMINAL CENTRE,38227,21834
254,GERMINAL CENTRE,38215,21811
255,GERMINAL CENTRE,38215,21799
256,GERMINAL CENTRE,38203,21787
257,GERMINAL CENTRE,38192,21776
258,GERMINAL CENTRE,38192,21764
259,GERMINAL CENTRE,38180,21752
260,GERMINAL CENTRE,38168,21717
261,GERMINAL CENTRE,38156,21705
262,GERMINAL CENTRE,38145,21694
263,GERMINAL CENTRE,38145,21682
264,GERMINAL CENTRE,38121,21670
265,GERMINAL CENTRE,38110,21647
266,GERMINAL CENTRE,38110,21635
267,GERMINAL CENTRE,38086,21611
268,GERMINAL CENTRE,38086,21600
269,GERMINAL CENTRE,38074,21588
270,GERMINAL CENTRE,38063,21576
271,GERMINAL CENTRE,38051,21565
272,GERMINAL CENTRE,38039,21541
273,GERMINAL CENTRE,38016,21529
274,GERMINAL CENTRE,37992,21506
275,GERMINAL CENTRE,37981,21494
276,GERMINAL CENTRE,37969,21482
277,GERMINAL CENTRE,37945,21459
278,GERMINAL CENTRE,37934,21459
279,GERMINAL CENTRE,37910,21447
280,GERMINAL CENTRE,37898,21436
281,GERMINAL CENTRE,37852,21424
282,GERMINAL CENTRE,37828,21412
283,GERMINAL CENTRE,37805,21400
284,GERMINAL CENTRE,37793,21389
285,GERMINAL CENTRE,37758,21377
286,GERMINAL CENTRE,37734,21377
287,GERMINAL CENTRE,37723,21377
288,GERMINAL CENTRE,37699,21365
289,GERMINAL CENTRE,37687,21365
290,GERMINAL CENTRE,37652,21353
291,GERMINAL CENTRE,37629,21342
292,GERMINAL CENTRE,37605,21342
293,GERMINAL CENTRE,37594,21342
294,GERMINAL CENTRE,37570,21330
295,GERMINAL CENTRE,37547,21330
296,GERMINAL CENTRE,37535,21330
297,GERMINAL CENTRE,37523,21330
298,GERMINAL CENTRE,37512,21330
299,GERMINAL CENTRE,37500,21330
300,GERMINAL CENTRE,37465,21330
301,GERMINAL CENTRE,37441,21330
302,GERMINAL CENTRE,37429,21330
303,GERMINAL CENTRE,37406,21330
304,GERMINAL CENTRE,37371,21330
305,GERMINAL CENTRE,37324,21330
306,GERMINAL CENTRE,37289,21330
307,GERMINAL CENTRE,37242,21330
308,GERMINAL CENTRE,37230,21330
309,GERMINAL CENTRE,37207,21330
310,GERMINAL CENTRE,37242,21400
311,GERMINAL CENTRE,37207,25376
312,GERMINAL CENTRE,37218,25387
313,GERMINAL CENTRE,37218,25399
314,GERMINAL CENTRE,37218,25411
315,GERMINAL CENTRE,37230,25422
316,GERMINAL CENTRE,37254,25446
317,GERMINAL CENTRE,37254,25458
318,GERMINAL CENTRE,37265,25469
319,GERMINAL CENTRE,37265,25481
320,GERMINAL CENTRE,37265,25493
321,GERMINAL CENTRE,37265,25505
322,GERMINAL CENTRE,37277,25516
323,GERMINAL CENTRE,37277,25528
324,GERMINAL CENTRE,37277,25540
325,GERMINAL CENTRE,37289,25563
326,GERMINAL CENTRE,37289,25575
327,GERMINAL CENTRE,37289,25587
328,GERMINAL CENTRE,37300,25598
329,GERMINAL CENTRE,37300,25610
330,GERMINAL CENTRE,37300,25622
331,GERMINAL CENTRE,37300,25634
332,GERMINAL CENTRE,37300,25645
333,GERMINAL CENTRE,37300,25657
334,GERMINAL CENTRE,37300,25669
335,GERMINAL CENTRE,37300,25680
336,GERMINAL CENTRE,37300,25692
337,GERMINAL CENTRE,37300,25704
338,GERMINAL CENTRE,37300,25716
339,GERMINAL CENTRE,37300,25727
340,GERMINAL CENTRE,37300,25739
341,GERMINAL CENTRE,37289,25751
342,GERMINAL CENTRE,37289,25762
343,GERMINAL CENTRE,37277,25762
344,GERMINAL CENTRE,37277,25774
345,GERMINAL CENTRE,37254,25786
346,GERMINAL CENTRE,37254,25798
347,GERMINAL CENTRE,37242,25809
348,GERMINAL CENTRE,37218,25821
349,GERMINAL CENTRE,37218,25833
350,GERMINAL CENTRE,37207,25833
351,GERMINAL CENTRE,37207,25845
352,GERMINAL CENTRE,37195,25856
353,GERMINAL CENTRE,37171,25868
354,GERMINAL CENTRE,37171,25880
355,GERMINAL CENTRE,37160,25891
356,GERMINAL CENTRE,37148,25891
357,GERMINAL CENTRE,37125,25903
358,GERMINAL CENTRE,37101,25915
359,GERMINAL CENTRE,37089,25915
360,GERMINAL CENTRE,37078,25927
361,GERMINAL CENTRE,37066,25927
362,GERMINAL CENTRE,37054,25927
363,GERMINAL CENTRE,37019,25927
364,GERMINAL CENTRE,37007,25927
365,GERMINAL CENTRE,36984,25927
366,GERMINAL CENTRE,36949,25927
367,GERMINAL CENTRE,36913,25927
368,GERMINAL CENTRE,36890,25927
369,GERMINAL CENTRE,36867,25927
370,GERMINAL CENTRE,36855,25927
371,GERMINAL CENTRE,36831,25927
372,GERMINAL CENTRE,36820,25927
373,GERMINAL CENTRE,36808,25927
374,GERMINAL CENTRE,36796,25927
375,GERMINAL CENTRE,36773,25927
376,GERMINAL CENTRE,36761,25927
377,GERMINAL CENTRE,36749,25927
378,GERMINAL CENTRE,36726,25927
379,GERMINAL CENTRE,36702,25927
380,GERMINAL CENTRE,36691,25927
381,GERMINAL CENTRE,36667,25927
382,GERMINAL CENTRE,36656,25927
383,GERMINAL CENTRE,36632,25927
384,GERMINAL CENTRE,36609,25915
385,GERMINAL CENTRE,36585,25891
386,GERMINAL CENTRE,36562,25880
387,GERMINAL CENTRE,36538,25868
388,GERMINAL CENTRE,36527,25868
389,GERMINAL CENTRE,36491,25833
390,GERMINAL CENTRE,36480,25809
391,GERMINAL CENTRE,36468,25786
392,GERMINAL CENTRE,36456,25786
393,GERMINAL CENTRE,36456,25774
394,GERMINAL CENTRE,36444,25774
395,GERMINAL CENTRE,36444,25762
396,GERMINAL CENTRE,36444,25751
397,GERMINAL CENTRE,36433,25739
398,GERMINAL CENTRE,36421,25727
399,GERMINAL CENTRE,36421,25716
400,GERMINAL CENTRE,36421,25692
401,GERMINAL CENTRE,36409,25669
402,GERMINAL CENTRE,36398,25645
403,GERMINAL CENTRE,36386,25634
404,GERMINAL CENTRE,36386,25610
405,GERMINAL CENTRE,36374,25587
406,GERMINAL CENTRE,36374,25563
407,GERMINAL CENTRE,36374,25551
408,GERMINAL CENTRE,36362,25540
409,GERMINAL CENTRE,36362,25516
410,GERMINAL CENTRE,36351,25481
411,GERMINAL CENTRE,36351,25469
412,GERMINAL CENTRE,36351,25446
413,GERMINAL CENTRE,36351,25434
414,GERMINAL CENTRE,36351,25411
415,GERMINAL CENTRE,36351,25399
416,GERMINAL CENTRE,36351,25387
417,GERMINAL CENTRE,36351,25376
418,GERMINAL CENTRE,36351,25364
419,GERMINAL CENTRE,36351,25352
420,GERMINAL CENTRE,36351,25340
421,GERMINAL CENTRE,36351,25317
422,GERMINAL CENTRE,36351,25305
423,GERMINAL CENTRE,36351,25282
424,GERMINAL CENTRE,36351,25270
425,GERMINAL CENTRE,36351,25258
426,GERMINAL CENTRE,36351,25247
427,GERMINAL CENTRE,36351,25235
428,GERMINAL CENTRE,36362,25200
429,GERMINAL CENTRE,36362,25188
430,GERMINAL CENTRE,36374,25176
431,GERMINAL CENTRE,36386,25164
432,GERMINAL CENTRE,36386,25153
433,GERMINAL CENTRE,36398,25141
434,GERMINAL CENTRE,36409,25129
435,GERMINAL CENTRE,36421,25118
436,GERMINAL CENTRE,36433,25118
437,GERMINAL CENTRE,36444,25094
438,GERMINAL CENTRE,36456,25094
439,GERMINAL CENTRE,36468,25082
440,GERMINAL CENTRE,36491,25082
441,GERMINAL CENTRE,36503,25082
442,GERMINAL CENTRE,36527,25082
443,GERMINAL CENTRE,36538,25071
444,GERMINAL CENTRE,36550,25059
445,GERMINAL CENTRE,36562,25059
446,GERMINAL CENTRE,36573,25059
447,GERMINAL CENTRE,36585,25059
448,GERMINAL CENTRE,36609,25059
449,GERMINAL CENTRE,36644,25059
450,GERMINAL CENTRE,36656,25059
451,GERMINAL CENTRE,36667,25059
452,GERMINAL CENTRE,36679,25059
453,GERMINAL CENTRE,36714,25059
454,GERMINAL CENTRE,36726,25059
455,GERMINAL CENTRE,36749,25059
456,GERMINAL CENTRE,36761,25059
457,GERMINAL CENTRE,36784,25071
458,GERMINAL CENTRE,36796,25071
459,GERMINAL CENTRE,36831,25094
460,GERMINAL CENTRE,36855,25094
461,GERMINAL CENTRE,36867,25106
462,GERMINAL CENTRE,36902,25106
463,GERMINAL CENTRE,36925,25141
464,GERMINAL CENTRE,36960,25141
465,GERMINAL CENTRE,36972,25153
466,GERMINAL CENTRE,36996,25164
467,GERMINAL CENTRE,37007,25176
468,GERMINAL CENTRE,37019,25176
469,GERMINAL CENTRE,37031,25200
470,GERMINAL CENTRE,37042,25200
471,GERMINAL CENTRE,37054,25211
472,GERMINAL CENTRE,37089,25247
473,GERMINAL CENTRE,37089,25258
474,GERMINAL CENTRE,37101,25270
475,GERMINAL CENTRE,37101,25282
476,GERMINAL CENTRE,37113,25293
477,GERMINAL CENTRE,37125,25305
478,GERMINAL CENTRE,37136,25317
479,GERMINAL CENTRE,37160,25340
480,GERMINAL CENTRE,37160,25352
481,GERMINAL CENTRE,37171,25352
482,GERMINAL CENTRE,37171,25376
483,GERMINAL CENTRE,37183,25387
484,GERMINAL CENTRE,37195,25387
485,GERMINAL CENTRE,37207,25376
486,GERMINAL CENTRE,42390,19770
487,GERMINAL CENTRE,42401,19770
488,GERMINAL CENTRE,42401,19782
489,GERMINAL CENTRE,42401,19806
490,GERMINAL CENTRE,42401,19817
491,GERMINAL CENTRE,42401,19841
492,GERMINAL CENTRE,42401,19853
493,GERMINAL CENTRE,42401,19864
494,GERMINAL CENTRE,42401,19876
495,GERMINAL CENTRE,42401,19888
496,GERMINAL CENTRE,42401,19899
497,GERMINAL CENTRE,42401,19911
498,GERMINAL CENTRE,42401,19923
499,GERMINAL CENTRE,42401,19935
500,GERMINAL CENTRE,42401,19946
501,GERMINAL CENTRE,42401,19958
502,GERMINAL CENTRE,42401,19970
503,GERMINAL CENTRE,42401,19982
504,GERMINAL CENTRE,42401,19993
505,GERMINAL CENTRE,42401,20005
506,GERMINAL CENTRE,42401,20017
507,GERMINAL CENTRE,42401,20028
508,GERMINAL CENTRE,42390,20052
509,GERMINAL CENTRE,42390,20064
510,GERMINAL CENTRE,42390,20075
511,GERMINAL CENTRE,42390,20087
512,GERMINAL CENTRE,42378,20099
513,GERMINAL CENTRE,42378,20122
514,GERMINAL CENTRE,42366,20134
515,GERMINAL CENTRE,42354,20146
516,GERMINAL CENTRE,42354,20157
517,GERMINAL CENTRE,42343,20181
518,GERMINAL CENTRE,42343,20193
519,GERMINAL CENTRE,42319,20204
520,GERMINAL CENTRE,42307,20216
521,GERMINAL CENTRE,42296,20239
522,GERMINAL CENTRE,42284,20239
523,GERMINAL CENTRE,42284,20251
524,GERMINAL CENTRE,42249,20275
525,GERMINAL CENTRE,42237,20286
526,GERMINAL CENTRE,42225,20298
527,GERMINAL CENTRE,42225,20310
528,GERMINAL CENTRE,42190,20310
529,GERMINAL CENTRE,42179,20322
530,GERMINAL CENTRE,42167,20333
531,GERMINAL CENTRE,42155,20345
532,GERMINAL CENTRE,42132,20357
533,GERMINAL CENTRE,42120,20368
534,GERMINAL CENTRE,42108,20368
535,GERMINAL CENTRE,42096,20380
536,GERMINAL CENTRE,42073,20380
537,GERMINAL CENTRE,42061,20392
538,GERMINAL CENTRE,42038,20404
539,GERMINAL CENTRE,42014,20404
540,GERMINAL CENTRE,42003,20415
541,GERMINAL CENTRE,41979,20415
542,GERMINAL CENTRE,41967,20415
543,GERMINAL CENTRE,41956,20415
544,GERMINAL CENTRE,41932,20415
545,GERMINAL CENTRE,41921,20415
546,GERMINAL CENTRE,41897,20415
547,GERMINAL CENTRE,41862,20415
548,GERMINAL CENTRE,41827,20415
549,GERMINAL CENTRE,41803,20415
550,GERMINAL CENTRE,41792,20415
551,GERMINAL CENTRE,41768,20415
552,GERMINAL CENTRE,41733,20415
553,GERMINAL CENTRE,41721,20415
554,GERMINAL CENTRE,41698,20415
555,GERMINAL CENTRE,41686,20415
556,GERMINAL CENTRE,41663,20404
557,GERMINAL CENTRE,41651,20392
558,GERMINAL CENTRE,41639,20392
559,GERMINAL CENTRE,41616,20380
560,GERMINAL CENTRE,41604,20368
561,GERMINAL CENTRE,41592,20357
562,GERMINAL CENTRE,41580,20357
563,GERMINAL CENTRE,41580,20345
564,GERMINAL CENTRE,41569,20345
565,GERMINAL CENTRE,41545,20322
566,GERMINAL CENTRE,41534,20310
567,GERMINAL CENTRE,41534,20298
568,GERMINAL CENTRE,41510,20286
569,GERMINAL CENTRE,41498,20263
570,GERMINAL CENTRE,41487,20239
571,GERMINAL CENTRE,41463,20216
572,GERMINAL CENTRE,41463,20204
573,GERMINAL CENTRE,41463,20193
574,GERMINAL CENTRE,41451,20181
575,GERMINAL CENTRE,41451,20157
576,GERMINAL CENTRE,41440,20146
577,GERMINAL CENTRE,41440,20134
578,GERMINAL CENTRE,41440,20110
579,GERMINAL CENTRE,41440,20087
580,GERMINAL CENTRE,41440,20075
581,GERMINAL CENTRE,41440,20052
582,GERMINAL CENTRE,41440,20040
583,GERMINAL CENTRE,41440,20017
584,GERMINAL CENTRE,41440,20005
585,GERMINAL CENTRE,41440,19982
586,GERMINAL CENTRE,41440,19970
587,GERMINAL CENTRE,41440,19958
588,GERMINAL CENTRE,41440,19935
589,GERMINAL CENTRE,41440,19911
590,GERMINAL CENTRE,41440,19899
591,GERMINAL CENTRE,41440,19876
592,GERMINAL CENTRE,41440,19853
593,GERMINAL CENTRE,41440,19841
594,GERMINAL CENTRE,41440,19817
595,GERMINAL CENTRE,41440,19806
596,GERMINAL CENTRE,41451,19794
597,GERMINAL CENTRE,41463,19782
598,GERMINAL CENTRE,41475,19770
599,GERMINAL CENTRE,41475,19759
600,GERMINAL CENTRE,41487,19747
601,GERMINAL CENTRE,41487,19735
602,GERMINAL CENTRE,41498,19724
603,GERMINAL CENTRE,41510,19712
604,GERMINAL CENTRE,41522,19700
605,GERMINAL CENTRE,41545,19688
606,GERMINAL CENTRE,41545,19677
607,GERMINAL CENTRE,41580,19665
608,GERMINAL CENTRE,41580,19653
609,GERMINAL CENTRE,41604,19653
610,GERMINAL CENTRE,41616,19641
611,GERMINAL CENTRE,41698,19618
612,GERMINAL CENTRE,41768,19595
613,GERMINAL CENTRE,41967,19501
614,GERMINAL CENTRE,42096,19454
615,GERMINAL CENTRE,42132,19430
616,GERMINAL CENTRE,42155,19430
617,GERMINAL CENTRE,42179,19430
618,GERMINAL CENTRE,42202,19430
619,GERMINAL CENTRE,42225,19430
620,GERMINAL CENTRE,42261,19442
621,GERMINAL CENTRE,42261,19454
622,GERMINAL CENTRE,42284,19454
623,GERMINAL CENTRE,42284,19466
624,GERMINAL CENTRE,42296,19477
625,GERMINAL CENTRE,42307,19489
626,GERMINAL CENTRE,42319,19501
627,GERMINAL CENTRE,42319,19512
628,GERMINAL CENTRE,42331,19524
629,GERMINAL CENTRE,42331,19548
630,GERMINAL CENTRE,42331,19559
631,GERMINAL CENTRE,42331,19583
632,GERMINAL CENTRE,42331,19595
633,GERMINAL CENTRE,42343,19606
634,GERMINAL CENTRE,42343,19630
635,GERMINAL CENTRE,42343,19641
636,GERMINAL CENTRE,42343,19653
637,GERMINAL CENTRE,42354,19665
638,GERMINAL CENTRE,42354,19688
639,GERMINAL CENTRE,42366,19700
640,GERMINAL CENTRE,42366,19724
641,GERMINAL CENTRE,42366,19735
642,GERMINAL CENTRE,42390,19770
643,GERMINAL CENTRE,45990,21095
644,GERMINAL CENTRE,45990,21084
645,GERMINAL CENTRE,45954,21072
646,GERMINAL CENTRE,45943,21060
647,GERMINAL CENTRE,45931,21060
648,GERMINAL CENTRE,45919,21060
649,GERMINAL CENTRE,45919,21049
650,GERMINAL CENTRE,45907,21049
651,GERMINAL CENTRE,45861,21049
652,GERMINAL CENTRE,45837,21049
653,GERMINAL CENTRE,45814,21049
654,GERMINAL CENTRE,45790,21049
655,GERMINAL CENTRE,45778,21049
656,GERMINAL CENTRE,45755,21049
657,GERMINAL CENTRE,45743,21049
658,GERMINAL CENTRE,45708,21049
659,GERMINAL CENTRE,45696,21049
660,GERMINAL CENTRE,45673,21049
661,GERMINAL CENTRE,45661,21049
662,GERMINAL CENTRE,45638,21049
663,GERMINAL CENTRE,45626,21049
664,GERMINAL CENTRE,45614,21049
665,GERMINAL CENTRE,45603,21049
666,GERMINAL CENTRE,45579,21060
667,GERMINAL CENTRE,45556,21060
668,GERMINAL CENTRE,45544,21072
669,GERMINAL CENTRE,45532,21084
670,GERMINAL CENTRE,45509,21095
671,GERMINAL CENTRE,45509,21107
672,GERMINAL CENTRE,45497,21119
673,GERMINAL CENTRE,45474,21131
674,GERMINAL CENTRE,45474,21142
675,GERMINAL CENTRE,45462,21142
676,GERMINAL CENTRE,45450,21154
677,GERMINAL CENTRE,45438,21166
678,GERMINAL CENTRE,45427,21178
679,GERMINAL CENTRE,45415,21201
680,GERMINAL CENTRE,45403,21213
681,GERMINAL CENTRE,45403,21224
682,GERMINAL CENTRE,45403,21236
683,GERMINAL CENTRE,45380,21260
684,GERMINAL CENTRE,45380,21271
685,GERMINAL CENTRE,45368,21283
686,GERMINAL CENTRE,45368,21307
687,GERMINAL CENTRE,45368,21318
688,GERMINAL CENTRE,45345,21342
689,GERMINAL CENTRE,45345,21353
690,GERMINAL CENTRE,45345,21365
691,GERMINAL CENTRE,45333,21377
692,GERMINAL CENTRE,45333,21389
693,GERMINAL CENTRE,45333,21412
694,GERMINAL CENTRE,45321,21424
695,GERMINAL CENTRE,45321,21447
696,GERMINAL CENTRE,45309,21447
697,GERMINAL CENTRE,45309,21459
698,GERMINAL CENTRE,45309,21482
699,GERMINAL CENTRE,45298,21494
700,GERMINAL CENTRE,45298,21518
